room_id,event_id
EGGC307,030c1483-fcac-49d4-a02b-1c7518e9a00e
EGGC319,fba6200b-76a9-4c9f-814a-8919b9441f43
EGGC401,ba0e1061-82b5-48ad-ba94-024d754a7f2a
EGGC405,89094489-8ff3-4d0c-ba21-c41c352b60fb
EGGC406,3abe5e1a-4039-4692-af82-ce934b32416e
EGGC408,3715b552-dd13-47cc-93e9-5ee84525080b
EGGC409,b7b4b4eb-2bf7-42f2-baa9-b2850987c103
EGGC501,5cabddb2-5584-4e7a-b933-259dda5334f3
EGGC502,cacead41-74c5-4671-8bcb-c28c6fedd84a
EGGC602,86eb240e-3e61-4daa-93fa-58969b01fce7
EGGC606,c2f6b8ad-dab6-4e42-b487-1492d6b07a39
EGGC607,b33d7b77-1e1b-4dff-91cc-fecc0aea1256
EGGC701,571d0c4f-01d9-42a9-8ff7-b3dc61fb7bae
EGGC702,aa1cc4c8-53c1-4fec-aa46-39bea206f98c
EGGC703,34987a84-358f-404f-9390-a9b26d6fae17
EGGC704,c4903352-222a-41f5-b11d-633ce590f746
EGGC706,933d724d-8c51-49d9-a4c9-4f515a3e914d
EGGC901,af0a5c7a-263c-484d-abb6-0c0ca051de3c
EGGC902,02769376-99cf-4c99-afae-aa9c703a5944
EGGC903,3a9c4e49-ff04-4bdb-9c67-39c2aada5c80
EGGC904,53765036-59f3-4042-9df4-03e01ed1e6ca
EGGC1011,e1d687db-7cfa-43a1-bbd8-fead3847587c
EGGC1013,0c5b563b-9811-4b58-8176-53ad7a5a2262
EGGC1119,a0f02be9-760d-4b74-a90c-d06d7f96eff2
EGGC1120,0a355e71-e422-4b23-9376-f1fa17f08453
MC26011,531795bd-d87b-4187-b6b0-e9c75f22e734
MC26207,0c4b3032-f631-48f9-aed2-7815d48911a9
MC26312,8a10b6d0-3f53-4777-be49-dff78fd29c4a
MC26313,b4417ff9-09a2-48fd-bddc-859c2a5323ed
MC26314,a5d9d587-5b15-4f06-bda6-102c2ff35321
MC26401,3b1b3417-51c9-4a58-b6ec-298c4960ed0d
MC26408,2f030d53-1a5e-41fe-b85a-a49bea152895
MC26409,aaaf13bb-5c0b-4add-9249-a67d6f57a171
MC26410,1698fe8f-6e05-4f09-8d2f-78c980cdb064
MC26502,588ad311-4d16-4bce-9111-9a1bdc81cc10
MC26503,c04b43ea-ba7b-430f-9e21-3ef9fea1dacd
MC26504,d248b6c7-1c3d-4871-901c-1346ea0f1c8b
MC61603,0e8bd665-ca43-4240-be25-2bc0b9ab4449
MC61623,c21e145b-2bb5-487f-b334-a916694b0c61
MC61624,4e20fa75-e452-48e3-ba78-a504e684d3ea
MC61721,4ca0e0fa-d588-4237-9d34-f48881966c55
MC61722,5656bb2c-a7c3-4448-a41c-b33c90dd73f6
MC61723,184c0b53-fe20-4710-8c0a-6e3c5389a03b
MC61812,d15551bf-8292-4762-b109-0e165b84e822
MC61820,99387652-47c4-4ce6-84ce-85dd547b575b
MC61821,18e1ecef-83d4-4943-9e76-9ef80ef8ee0c
MC61822,90f6eb6f-c99e-4abd-aa80-0241ea9a976c
MC61919,50e4ebcd-4710-47fc-bb87-ee5b7596cabe
MC61922,d83883dc-ace7-4246-829c-6cd44e97d110
MC61923,7b18732f-e877-42e9-83d6-6353e88d12f0
MC61924,11d2470d-dbe8-4761-93db-9ef3693a177c
MC61925,58f14868-40f7-4183-bda8-990525b9cb1c
MC61927,5bfb0e8f-aa3d-4ef8-b870-e7802110b0a9
MC611026,bce35a3d-0c6c-466e-a835-a3b6804b4a77
MC611029,005929c5-8ff4-4fcd-8bd6-0e0d77d17a53
MC611118,4fffdc8c-7bcc-4130-8648-4508f6f71be2
MC611119,14da0d34-0b75-4b2f-ba90-ac96ff912b06
